id,title,year,study.num,assumed,file.drawer,data.source,prop.women,video.know,dim.v.dis,dim.pos.v.neg,emo,dur.manip,paq,ini.v.mod,stim,proc,proc.control,proc.aware,w.v.b,es.calc.method,b.treat,b.treat.n,b.treat.m,b.treat.sd,b.treat.se,b.compa,b.compa.n,b.compa.m,b.compa.sd,b.compa.se,b.tval,b.fval,b.pval.df,b.pval,w.n,w.treat,w.treat.m,w.treat.sd,w.treat.se,w.compa,w.compa.m,w.compa.sd,w.compa.se,w.tval,w.pval.df,w.pval,w.fval,es.dir.fpval,es,es.var,se
12,Cross-modality consistencies in individual differences in self-attribution.,1977,1,no,no,peer-reviewed,0.575,yes,discrete,NA,happiness,no,no,initiate,NA,exp.pose-control,yes,yes,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Smile,NA,NA,NA,Neutral,NA,NA,NA,2.14,NA,NA,NA,NA,0.384355346,0.034640791,0.186120367
12,Cross-modality consistencies in individual differences in self-attribution.,1977,1,no,no,peer-reviewed,0.575,yes,discrete,NA,happiness,no,no,initiate,NA,exp.pose-control,yes,yes,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,Smile,NA,NA,NA,Neutral,NA,NA,NA,2.83,NA,NA,NA,NA,0.508283005,0.036425026,0.190853415
13,"Culturally Situated Cognition: The Influence of Communication Practices, Physical Environments, and Intra-Individual Motor Actions; Chapter 4 Culture and bodily posture: When are bodily expressions informative to East Asians and to Americans?",2006,1,no,yes,dissertation,0.24691358,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,tval,Teeth (no social context),20,NA,NA,NA,Lips (no social context),20,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170762994,0.1003645,0.316803567
13,"Culturally Situated Cognition: The Influence of Communication Practices, Physical Environments, and Intra-Individual Motor Actions; Chapter 4 Culture and bodily posture: When are bodily expressions informative to East Asians and to Americans?",2006,1,no,yes,dissertation,0.24691358,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,tval,Teeth (social context),20,NA,NA,NA,Lips (social context),20,NA,NA,NA,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528100369,0.103486125,0.321692594
14,"Culturally Situated Cognition: The Influence of Communication Practices, Physical Environments, and Intra-Individual Motor Actions; Chapter 4 Culture and bodily posture: When are bodily expressions informative to East Asians and to Americans?",2006,2,no,yes,dissertation,0.6,no,NA,NA,NA,yes,yes,NA,pictures,incidental-suppress,no,NA,between,fval,Teeth,38.5,4.67,NA,NA,Lips,38.5,4.09,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,positive,0.488836413,0.053499747,0.231300123
15,Deeper than skin deep - The effect of botulinum toxin-A on emotion processing.,2016,1,no,no,peer-reviewed,1,no,NA,NA,NA,yes,yes,NA,sentences,Botox-control,yes,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Pre-Botox (slightly emotional stimuli),NA,NA,NA,Post-Botox (slightly emotional stimuli),NA,NA,NA,3.97,NA,NA,NA,NA,1.255424231,0.1788045,0.422852811
15,Deeper than skin deep - The effect of botulinum toxin-A on emotion processing.,2016,1,no,no,peer-reviewed,1,no,NA,NA,NA,yes,yes,NA,sentences,Botox-control,yes,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,Pre-Botox (very emotional stimuli),NA,NA,NA,Post-Botox (very emotional stimuli),NA,NA,NA,1.98,NA,NA,NA,NA,0.626130977,0.119602,0.345835221
16,DEFENSIVE STYLE: MANIPULATION OF FACIAL EXPRESSIVENESS AND ITS IMPACT ON PSYCHOPHYSIOLOGICAL REACTIVITY AND SELF-REPORTED ANXIETY (REPRESSION-SENSITIZATION),1985,1,no,yes,dissertation,0,yes,discrete,NA,fear,NA,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Exaggerate,36.4,7.4,NA,Control,39.1,7.6,NA,NA,NA,NA,NA,NA,-0.359904038,0.035492182,0.188393689
16,DEFENSIVE STYLE: MANIPULATION OF FACIAL EXPRESSIVENESS AND ITS IMPACT ON PSYCHOPHYSIOLOGICAL REACTIVITY AND SELF-REPORTED ANXIETY (REPRESSION-SENSITIZATION),1985,1,no,yes,dissertation,0,yes,discrete,NA,fear,NA,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,Control,34.9,6.9,NA,Suppression,36.4,7.4,NA,NA,NA,NA,NA,NA,-0.209406545,0.034064185,0.184564853
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Non Duchenne smiling; landscape,18,4.16,2.84256926,0.67,Control (jaw-dropping condition),15,4.66,2.943467343,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.173095875,0.122676195,0.350251616
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Non Duchenne smiling; chimpanzee,18,5.93,1.654629868,0.39,Control (jaw-dropping condition),15,5.03,2.13014084,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477632212,0.125678776,0.354512025
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Non Duchenne smiling; cartoon 1,18,6.29,2.03646753,0.48,Control (jaw-dropping condition),15,5.32,2.13014084,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466504443,0.125519592,0.354287442
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Non Duchenne smiling; cartoon 2,18,6.87,1.951614716,0.46,Control (jaw-dropping condition),15,6,2.01395134,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43939177,0.125147451,0.353761857
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Duchenne smiling; landscape,17,6.18,2.844942882,0.69,Control (jaw-dropping condition),15,4.66,2.943467343,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525708023,0.129808461,0.360289412
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Duchenne smiling; chimpanzee,17,7.34,2.061552813,0.5,Control (jaw-dropping condition),15,5.03,2.13014084,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.103236069,0.14450785,0.380141881
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Duchenne smiling; cartoon 1,17,7.65,2.061552813,0.5,Control (jaw-dropping condition),15,5.32,2.13014084,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.112787896,0.144838585,0.380576648
17,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,1,no,no,peer-reviewed,1,yes,dimensional,positive,NA,no,no,modulate,film,incidental-suppress,no,NA,between,mean,Duchenne smiling; cartoon 2,17,7.86,1.937859644,0.47,Control (jaw-dropping condition),15,6,2.01395134,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942376135,0.139366333,0.373318006
18,Effective regulation of the experience and expression of negative affect in old age.,2008,1,no,no,peer-reviewed,0.547,yes,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,Spontaneous reaction,16,4.858695652,1.52173913,0.380434783,Suppression,16,4.619565217,1.086956522,0.27173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180838886,0.12551098,0.354275288
18,Effective regulation of the experience and expression of negative affect in old age.,2008,1,no,no,peer-reviewed,0.547,yes,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,Spontaneous reaction,16,5.760869565,0.869565217,0.217391304,Suppression,16,5.695652174,0.869565217,0.217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,0.125087891,0.353677665
21,Emotion dysregulation and schizotypy,2009,1,no,no,peer-reviewed,0.666666667,yes,dimensional,positive,NA,NA,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,exaggeration,5.617977528,1.890647685,0.370786517,control,5.696629213,1.54689356,0.303370787,NA,NA,NA,NA,NA,-0.045089093,0.038500635,0.196215787
21,Emotion dysregulation and schizotypy,2009,1,no,no,peer-reviewed,0.666666667,yes,dimensional,positive,NA,NA,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,control,5.696629213,1.54689356,0.303370787,suppression,4.797752809,1.833355331,0.359550562,NA,NA,NA,NA,NA,0.526201925,0.043786317,0.209251802
22,Emotion dysregulation in schizophrenia: Reduced amplification of emotional expression is associated with emotional blunting,2007,1,no,no,peer-reviewed,0.533333333,yes,dimensional,positive,NA,NA,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,exaggeration,4.7,2.22,NA,control,5.7,1.76,NA,NA,NA,NA,NA,NA,-0.492736402,0.037379819,0.193338613
22,Emotion dysregulation in schizophrenia: Reduced amplification of emotional expression is associated with emotional blunting,2007,1,no,no,peer-reviewed,0.533333333,yes,dimensional,positive,NA,NA,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,control,5.7,1.76,NA,suppression,5.1,2.77,NA,NA,NA,NA,NA,NA,0.247114537,0.034351093,0.185340479
23,"Emotion experience, expression, and regulation in Alzheimer's disease.",2009,1,no,no,peer-reviewed,0.65,yes,dimensional,positive,NA,NA,no,modulate,film,exaggerate-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,exaggeration,6.246105837,1.626209753,0.363631555,control,6.33935419,1.821354923,0.407267342,NA,NA,NA,NA,NA,-0.053837081,0.050072461,0.223768766
23,"Emotion experience, expression, and regulation in Alzheimer's disease.",2009,1,no,no,peer-reviewed,0.65,yes,dimensional,positive,NA,NA,no,modulate,film,suppress-control,yes,yes,within,mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,control,6.33935419,1.821354923,0.407267342,suppression,5.332769153,2.276693654,0.509084177,NA,NA,NA,NA,NA,0.482398813,0.055817715,0.236257731
24,Emotion regulation and memory: The cognitive costs of keeping one's cool,2000,1,no,no,peer-reviewed,0.55,no,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,fval,No suppression,28,NA,NA,NA,Suppression,25,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,-0.116741473,0.075842857,0.275395819
25,The effects of expressive and experiential suppression on memory accuracy and memory distortion in women with and without PTSD,2012,1,no,no,peer-reviewed,NA,no,dimensional,negative,NA,no,no,modulate,film,suppress-control,yes,yes,between,mean,Control (no instructions),11.66666667,-1.14,0.94,NA,Control(suppression),11.66666667,0.01,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.87235187,0.187735667,0.433284741
26,Emotion Regulation in Romantic Relationships: The Cognitive Consequences of Concealing Feelings,2003,1,no,no,peer-reviewed,0.5,no,dimensional,positive,NA,no,no,modulate,social context,suppress-control,yes,yes,between,mean,Uninstructed Participants,28,4.3,2.12,NA,Suppression,31,3.88,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189016681,0.068275124,0.26129509
26,Emotion Regulation in Romantic Relationships: The Cognitive Consequences of Concealing Feelings,2003,1,no,no,peer-reviewed,0.5,no,dimensional,negative,NA,no,no,modulate,social context,suppress-control,yes,yes,between,mean,Uninstructed Participants,28,2,1.48,NA,Suppression,31,2.2,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.121600504,0.068097661,0.260955286
27,"Emotion regulation, disgust sensitivity, and psychophysiological responses to a disgust-inducing film",2009,1,no,no,peer-reviewed,0,NA,discrete,NA,disgust,no,no,modulate,film,suppress-control,yes,yes,between,mean,Watch,12,1.83,1.85,0.534048999,Suppression,24,1.58,1.45,0.295980011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157187359,0.125343165,0.354038366
27,"Emotion regulation, disgust sensitivity, and psychophysiological responses to a disgust-inducing film",2009,1,no,no,peer-reviewed,0,NA,discrete,NA,disgust,no,no,modulate,film,suppress-control,yes,yes,between,mean,Watch,12,3.17,1.99,0.574463518,Suppression,24,2.96,1.46,0.298021252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127256987,0.125224921,0.353871335
28,Emotional empathy and facial feedback.,2008,1,no,no,peer-reviewed,0.517857143,no,NA,NA,NA,yes,yes,NA,film,incidental-suppress,no,NA,between,mean,happy,57,39.8,17.2,2.278195654,Sulk,55,43.6,16.8,2.265311538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223466156,0.035948611,0.18960119
29,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,1,no,no,peer-reviewed,0.733333333,yes,discrete,NA,anger,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,Angry facial posing,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,9.27,NA,NA,NA,NA,1.196751854,0.028601792,0.169120642
29,Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.,1999,1,no,no,peer-reviewed,0.733333333,yes,discrete,NA,disgust,no,no,initiate,NA,exp.pose-exp.pose,no,NA,within,tval,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,Disgust facial pose,NA,NA,NA,posing of all non-target emotions,NA,NA,NA,5.45,NA,NA,NA,NA,0.703591975,0.020792014,0.144194362
