,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
19,"Gillis, 2013","Gillis, M. M., Quinn, K. M., Phillips, P. A., & Hampstead, B. M. (2013). Impaired retention is responsible for temporal order memory deficits in mild cognitive impairment. Acta psychologica, 143(1), 88-95.",25,34,20.52,68.12,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,-0.385491555,0.852511848,0.923315681
20,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,-0.118179535,0.789291587,0.888420839
21,,,,,,,shifting,yes,Modified WCST,"A shortened form of the Wisconsin Card Sorting Task, in which participants must sort cards based on rules learned while completing the task (Emory Short Form).",Number of categories,no,1.225993148,0.072516108,0.26928815
22,"Gorlick, 2013A","Gorlick, M. A., Giguère, G., Glass, B. D., Nix, B. N., Mather, M., & Maddox, W. T. (2013). Attenuating age-related learning deficits: emotional valenced feedback interacts with task complexity. Emotion, 13(2), 250.",37,30,21.74,66.87,updating,no,Rule Learning Task,Participants were asked to categorize stimuli into one of two categories using trial-by-trial feedback.,Number of trials to learn the first rule: Point Loss,no,0.146547114,0.855798654,0.925093862
23,"Gorlick, 2013B","Gorlick, M. A., Giguère, G., Glass, B. D., Nix, B. N., Mather, M., & Maddox, W. T. (2013). Attenuating age-related learning deficits: emotional valenced feedback interacts with task complexity. Emotion, 13(2), 250.",34,31,21.88,67.35,updating,no,Rule Learning Task,Participants were asked to categorize stimuli into one of two categories using trial-by-trial feedback.,Number of trials to learn the first rule: Point Loss,no,0.143036016,0.877222357,0.936601493
24,"Heilbronner, 2013","Heilbronner, U., & Münte, T. F. (2013). Rapid event-related near-infrared spectroscopy detects age-related qualitative changes in the neural correlates of response inhibition. Neuroimage, 65, 408-415.",19,16,23.1,68.4,inhibition,no,Go/No-Go Task,Participants were instructed to press a button when target stimuli appeared and not to respond to non-targets.,RT to go trials in milliseconds,no,8.330703161,1.371516899,1.171117799
25,"Kelly, 2013","Kelly, A. J., Hertzog, C., Hayes, M. G., & Smith, A. D. (2013). The effects of age and focality on delay-execute prospective memory. Aging, Neuropsychology, and Cognition, 20(1), 101-124.",48,48,18-24,60-79,processing speed,no,Letter Comparison Task,Determine whether pairs of letters were the same or different.,Number of correct responses,no,2.29416619,0.1349244,0.367320568
26,,,,,,,processing speed,no,Pattern Comparison Task,Determine whether patterns of stimuli were the same or different.,Number of correct responses,no,2.507382786,0.289504453,0.53805618
27,,,,,,,processing speed,no,Processing Speed Task,Determine whether pairs of numbers were the same or different.,Number of correct responses,no,2.618208399,0.13830712,0.371896652
28,"Konstantopoulos, 2013","Konstantopoulos, K., Issidorides, M., & Spengos, K. (2013). A normative study of the Color Trails Test in the Greek population. Applied Neuropsychology: Adult, 20(1), 47-52.",45,10,20-29,70-85,shifting,no,Modified Trail Making Test,Participants were instructed to connect numbered circles in ascending order for Trail 1. Then participants were instructed to alternate between numbers and colors in ascending order for Trail 2.,RT to complete Trail B in seconds,no,4.542512063,2.356567277,1.535111487
29,"Lawo, 2012","Lawo, V., & Koch, I. (2012). Examining age-related differences in auditory attention control using a task-switching procedure. Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 69(2), 237-244.",20,20,23.2,66.6,shifting,no,Task Switching Task,Participants responded to an auditory stimulus by pressing a button as quickly as possible.,RT in milliseconds on incongruent trials,no,1.020844649,932.0980384,30.53028068
30,"Mathias, 2013","Mathias, J. L., Dennington, V., Bowden, S. C., & Bigler, E. D. (2013). Community versus orthopaedic controls in traumatic brain injury research: How comparable are they?. Brain injury, 27(7-8), 887-895.",63,15,24.67,69.13,processing speed,no,Block Design Task,Participants replicated patterns using blocks,number of correct patterns,no,2.03071587,0.953572946,0.976510597
31,,,,,,,updating,no,Progressive Matrices Task,Participants were presented with a geometric design with a missing piece and had to decide which of the given choices to use to fill the missing piece.,Number of correct responses,no,1.43917151,0.151161871,0.38879541
32,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a letter or category in one minute.,Number of correct responses,no,-0.094358079,1.011909095,1.005936924
33,"McAlister, 2013","McAlister, C., & Schmitter-Edgecombe, M. (2013). Naturalistic assessment of executive function and everyday multitasking in healthy older adults. Aging, Neuropsychology, and Cognition, 20(6), 735-756.",50,50,22.15,66.86,shifting,no,Shifting Task,Participants were provided with a list of tasks to complete that they had to complete simultaneously.,RT in minutes,no,1.344183829,0.073395874,0.27091673
34,,,,,,,processing speed,no,Digit Symbol Modality Test,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.259671549,0.779154637,0.882697364
35,"McVay, 2013","McVay, J. C., Meier, M. E., Touron, D. R., & Kane, M. J. (2013). Aging ebbs the flow of thought: Adult age differences in mind wandering, executive control, and self-evaluation. Acta psychologica, 142(1), 136-147.",108,99,19.3,66.9,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,0.573859351,0.668795391,0.817799114
36,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,0.75699027,0.695528123,0.833983287
37,,,,,,,inhibition,no,Go/No-Go Task,"Participants were instructed to press the spacebar when targets appeared on the screen (detect trials).Then, participants were instructed to press the space bar only when the targets were alternating (go trials) and not to respond when targets were repeated (no-go trials).",RT in milliseconds on go trials,no,0.479785434,39.31093548,6.269843338
38,"Oh-Park, 2013","Oh-Park, M., Holtzer, R., Mahoney, J., Wang, C., Raghavan, P., & Verghese, J. (2013). Motor dual-task effect on gait and task of upper limbs in older adults under specific task prioritization: pilot study. Aging clinical and experimental research, 25(1), 99-106.",18,16,19.2,74.5,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,8.786653664,0.285402245,0.534230517
39,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,6.715826801,3.633146279,1.906081394
40,"Rodríguez-Villagra, 2013","Rodríguez-Villagra, O. A., Göthe, K., Oberauer, K., & Kliegl, R. (2013). Working memory capacity in a go/no-go task: Age differences in interference, processing speed, and attentional control. Developmental psychology, 49(9), 1683.",18,22,23,73,shifting,no,Go/No-Go Task,"Participants encoded location of a various stimuli, then depending on the type of arrow they were instructed to either mentally shift the objects location according to the direction of the arrow (go trials) or inhibit response (no-go trials).",Proportion correct,no,1.043668283,0.097481399,0.312220113
41,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.920929149,1.092020314,1.044997758
42,"Schnitzspahn, 2013","Schnitzspahn, K. M., Stahl, C., Zeintl, M., Kaller, C. P., & Kliegel, M. (2013). The role of shifting, updating, and inhibition in prospective memory performance in young and older adults. Developmental psychology, 49(8), 1544.",175,110,23.16,66,updating,yes,Keep Track Task,"Participants were instructed to remember the last item from each target category, and at the end of each trail participants were asked to recall items.",Proportion of correctly recalled words across five trials,no,0.662601601,0.014752061,0.121458061
43,,,,,,,updating,yes,Letter Memory Span Task,"Participants were presented with a series of lists of letters, one letter at a time, and were instructed to recall the last three letters of each list.",Proportion of correctly recalled letters across twelve trials,no,0.957844618,0.01476384,0.121506543
44,,,,,,,inhibition,yes,Anti-saccade Task,"Participants were instructed to look in the opposite direction of the cue, then they were asked to identify the direction of an arrow by pressing a button.",Proportion of correct responses (correctly discriminated the arrow opposite to the cue),no,0.362671811,0.014747872,0.121440819
45,"Schubert, 2013","Schubert, C. R., Cruickshanks, K. J., Fischer, M. E., Huang, G. H., Klein, R., Pankratz, N., ... & Nondahl, D. M. (2013). Odor identification and cognitive function in the Beaver Dam Offspring Study. Journal of clinical and experimental neuropsychology, 35(7), 669-676.",222,184,31.9,69.5,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.242003645,0.127849677,0.357560731
46,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT for Trail B in seconds,no,1.210623923,1.285016429,1.133585651
47,"Silva, 2013","Silva, A. R., Pinho, S., Macedo, L. M., & Moulin, C. J. (2013). Benefits of SenseCam review on neuropsychological test performance. American journal of preventive medicine, 44(3), 302-307.",15,14,19,75,updating,no,Updating Task,Participants must remember and organize into the correct order a list of months before repeating them out loud  (Month Ordering Task).,Number of correctly ordered months,no,0.716082206,0.171538791,0.414172416
48,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a letter or category in one minute.,Number of words produced,no,0.004694975,0.758729818,0.871050984
49,,,,,,,processing speed,no,Symbol Search Task,Participants are to determine whether a set of five symbols includes one of two target exemplars,number of correct responses,no,-0.004694975,0.758729818,0.871050984
50,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,-0.449767478,0.368769269,0.607263756
51,"Albinet, 2012","Albinet, C. T., Boucard, G., Bouquet, C. A., & Audiffren, M. (2012). Processing speed and executive functions in cognitive aging: how to disentangle their mutual relationship?. Brain and cognition, 79(1), 1-11.",28,39,22.7,71.2,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.879716349,1.128424902,1.062273459
52,,,,,,,processing speed,no,Choice RT,Participants were instructed to indicate the location of a stimulus as quickly as possible.,RT in milliseconds,no,3.004461574,15.58125453,3.947309783
53,,,,,,,processing speed,no,SRT Task,Participants were instructed to responsed to a stimuli as quickly as possible,RT in milliseconds,no,1.35669904,11.00829922,3.31787571
54,,,,,,,inhibition,yes,Verbal Fluency,Participants were instructed to responsed to a stimuli as quickly as possible,RT in milliseconds,no,1.149889382,0.565756869,0.752168112
55,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in milliseconds (Interference score),no,1.189129444,65.66257469,8.103244702
56,,,,,,,inhibition,no,Stop-Signal Task,Participants were instructed to press corresponding key to visual stimuli as quickly as possible and to inhibit response when they heard an auditory tone.,RT in milliseconds,no,0.769779352,18.76751765,4.33214931
57,,,,,,,updating,no,Verbal Span Task,Participants were given a sequence of letters and asked to recall the last 4 letters in the sequence.,Number of correct responses,no,1.317970845,0.423812147,0.651008561
58,,,,,,,updating,no,Spatial Span Task,Participants were given a sequence of dots presented in a matrix and asked to recall the position of the last 4 dots in the sequence.,Number of correct responses,no,2.373553657,0.528452726,0.72694754
59,,,,,,,inhibition,yes,Verbal Fluency,Participants said a number from one to nine aloud every time they heard a tone.,Percent adjacency,no,0.254193103,0.065773737,0.256463909
60,,,,,,,shifting,no,Global Task Switching Task,Participants were instructed to stimuli differently depending on the location of a cue.,RT in milliseconds (global switch costs),no,2.263487998,368.6228787,19.19955413
61,,,,,,,shifting,no,Local Switching Task,Participants were instructed to stimuli differently depending on a cue.,RT in milliseconds (local switch costs),no,1.577298056,46.24529895,6.800389617
62,,,,,,,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of perseverative errors,no,1.367397084,0.409563358,0.639971373
63,"Aizpurua, 2010","Aizpurua, A., & Koutstaal, W. (2010). Aging and flexible remembering: contributions of conceptual span, fluid intelligence, and frontal functioning. Psychology and aging, 25(1), 193.",36,36,21.31,69.94,processing speed,no,Block Design Task,Participants replicated patterns using blocks,number of correct patterns,no,-1.334017593,0.962660596,0.981152687
64,,,,,,,updating,no,Ruff Figural Fluency Test,Participants were instructed to connect a various number of dots using straight lines to create as many unique designs as possible within a specified time limit.,Number of unique designs,no,1.478818429,1.332379546,1.154287463
65,,,,,,,updating,no,Verbal Fluency,"A modified version of the Alternative Uses Task, in which participants generated nonstandard uses for a given object. Then participants were asked to indicate which uses they had never seen before (i.e., they thought of the use for the first time during the task) (Ideational Fluency Task).",Number of generated alternative uses across three objects,no,-0.036524554,0.503039985,0.709253118
66,,,,,,,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of categories,no,0.331797891,0.056548042,0.237798321
67,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a letter or category in one minute.,Number of words produced,no,-0.017753774,0.89835401,0.947815388
68,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.176651306,0.067687209,0.260167655
69,"Allen, 2009","Allen, P. A., Ruthruff, E., Elicker, J. D., & Lien, M. C. (2009). Multisession, dual-task psychological refractory period practice benefits older and younger adults equally. Experimental Aging Research, 35(4), 369-399.",18,18,22.2,68.7,shifting,yes,Dual Task,Participants completed a tone discrimination task (Task 1) and a letter-matching task (Task 2) stimultaneously. Participants pressed a button to indiciate whether the tone was a high tone or low tone while pressing a button to indicate whether the letters presented were the same or different. Participants were instructed to respond to Task 1 before Task 2.,"Percent error for task 1, session 1, low load",no,18.97167556,0.106250283,0.325960554
70,"Angel, 2010","Angel, L., Fay, S., Bouazzaoui, B., & Isingrini, M. (2010). Individual differences in executive functioning modulate age effects on the ERP correlates of retrieval success. Neuropsychologia, 48(12), 3540-3553.",14,14,24.28,65.6,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of perseverative errors,no,1.655280576,0.40954614,0.639957921
71,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Stroop Interference Score,no,1.333597708,0.134745768,0.367077333
72,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible not containing various letters letter in one minute (Excluded Letter Fluency Test).,Number of words produced,no,0.767655239,0.802368777,0.895750399
73,"Angel, 2011","Angel, L., Fay, S., Bouazzaoui, B., & Isingrini, M. (2011). Two hemispheres for better memory in old age: role of executive functioning. Journal of Cognitive Neuroscience, 23(12), 3767-3777.",25,28,24.4,67.1,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of perseverative errors,no,1.402886502,0.501066256,0.707860337
74,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Number of correct responses in 45 seconds,no,1.389209828,0.073570797,0.271239372
75,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible not containing various letters letter in one minute (Excluded Letter Fluency Test).,Number of words produced,no,0.584754038,0.543020821,0.736899465
76,"Alperin, 2015","Alperin, B. R., Tusch, E. S., Mott, K. K., Holcomb, P. J., & Daffner, K. R. (2015). Investigating age-related changes in anterior and posterior neural activity throughout the information processing stream. Brain and cognition, 99, 118-127.",26,29,22.58,72.83,inhibition,no,Attention Task,Participants were instructed to press a button only when target letters appeared in a designated color.,RT to target stimuli in milliseconds,no,0.596989499,27.91640162,5.283597413
77,"Bangert, 2010","Bangert, A. S., Reuter-Lorenz, P. A., Walsh, C. M., Schachter, A. B., & Seidler, R. D. (2010). Bimanual coordination and aging: neurobehavioral implications. Neuropsychologia, 48(4), 1165-1170.",17,17,20.18,72.53,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.162179198,2.363047875,1.537220828
78,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.729803256,0.17559201,0.419037003
79,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.070426671,2.198825535,1.482843733
80,,,,,,,updating,no,Reading Span Task,Participants read a set of sentences then were asked to recall the last word of each sentence.,Number of items remembered,no,0.776623906,0.510512214,0.714501375
81,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT Trails B - Trails A in seconds,no,1.024982004,2.262049173,1.504011028
82,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Response inhibition score,no,1.326903449,0.784300464,0.885607398
83,"Allard, 2008","Allard, E. S., & Isaacowitz, D. M. (2008). Are preferences in emotional processing affected by distraction? Examining the age-related positivity effect in visual fixation within a dual-task paradigm. Aging, Neuropsychology, and Cognition, 15(6), 725-743.",20,20,21.6,70.45,updating,no,Digit Span,Participants were instructed to repeat a set of numbers,Highest string of repeated numbers,no,-0.115639973,0.118149725,0.343729145
84,,,,,,,updating,no,Digit Span,Participants were instructed to repeat a set of numbers in reverse order,Highest string of repeated numbers,no,-0.028733591,0.118421712,0.344124559
85,"Baudouin, 2009","Baudouin, A., Clarys, D., Vanneste, S., & Isingrini, M. (2009). Executive functioning and processing speed in age-related differences in memory: contribution of a coding task. Brain and cognition, 71(3), 240-245.",46,54,29.1,74.7,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of categories,no,0.774877489,0.041660917,0.204110062
86,,,,,,,updating,no,Running Memory Span Task,Participants were read sets of letters and were instructed to remember the six most recent letters in order.,Number of correct responses,no,1.388980544,0.16278069,0.403460891
87,,,,,,,updating,no,Computation Span Task,Participants solved arithmetic problems and were instructed to remember the last digit from each problem.,Number of problems that both the answer to the arithmetic problem and recalled digit were correct,no,1.752012739,0.185207542,0.430357459
88,,,,,,,processing speed,no,Processing Speed Task,Determine whether pairs of numbers were the same or different.,Number of correct responses,no,2.090398611,0.054831462,0.234161188
89,,,,,,,processing speed,no,Letter Comparison Task,Determine whether pairs of letters were the same or different.,Number of correct responses,no,2.573683322,0.068051242,0.260866329
90,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,3.412821487,0.104682588,0.323546887
91,"Bélanger, 2010","Bélanger, S., Belleville, S., & Gauthier, S. (2010). Inhibition impairments in Alzheimer's disease, mild cognitive impairment and healthy aging: Effect of congruency proportion in a Stroop task. Neuropsychologia, 48(2), 581-590.",20,20,23.9,71.1,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,0.1921459,0.174179597,0.417348293
92,"Thurm, 2013","Thurm, F., Antonenko, D., Schlee, W., Kolassa, S., Elbert, T., & Kolassa, I. T. (2013). Effects of aging and mild cognitive impairment on electrophysiological correlates of performance monitoring. Journal of Alzheimer's Disease, 35(3), 575-587.",16,16,22.3,68,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT Trail B in seconds,no,1.430174245,11.15463774,3.339855946
93,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a letter or category in one minute.,Number of words produced,no,0.338338214,0.889045265,0.942891969
94,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.702256083,0.3121606,0.558713343
95,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.787114846,1.850544453,1.360347181
96,,,,,,,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT for correct trials in milliseconds,no,1.358106223,112.8473559,10.62296361
97,"Tomaszczyk, 2013","Tomaszczyk, J. C., & Fernandes, M. A. (2013). A positivity effect in older adults’ memorability judgments of pictures. Experimental aging research, 39(3), 254-274.",30,30,20.8,74.57,processing speed,no,Trail Making Test,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT for correct trials in milliseconds,no,1.29797084,1.095989262,1.046895058
98,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail A, which entails connecting numbered circles in ascending order. Following Trail A, participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT Trail B in seconds,no,1.110352275,3.237859678,1.799405368
99,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of numbers correctly recalled,no,0.509227473,0.099864692,0.316013753
100,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of numbers correctly recalled,no,0.210868141,0.093404564,0.305621603
